,model_name,epoch,loss,acc,val_loss,val_acc,f1,recall
0,IDCNNCRF,1,0.154909244267786,0.9543502640919587,0.05245702583123845,0.9816995558583927,,
0,IDCNNCRF,2,0.0406448524744588,0.9848457890704626,0.035078707914913944,0.9864596147425645,,
0,IDCNNCRF,3,0.02314951438683754,0.99021136573021,0.02957026610747711,0.9881516239744141,,
0,IDCNNCRF,4,0.014070981507463052,0.992756930174571,0.02661325477339246,0.9886390606613719,,
0,IDCNNCRF,5,0.007852074437572142,0.9943715629487134,0.02465127852582551,0.9890208126824226,,
0,IDCNNCRF,6,0.002670410116814068,0.9954499624043649,0.0240086921746132,0.9888137592783923,,
0,IDCNNCRF,7,-0.002094543820152044,0.996218321907807,0.021852767824319965,0.9885872988964148,0.860460868220459,0.8713715172469978
0,IDCNNCRF2,1,0.10166042416710935,0.9680127791829779,0.04116870021226786,0.9859560017033995,,
0,IDCNNCRF2,2,0.029026016186322997,0.98941901280221,0.0300574543963522,0.9887382714516726,,
0,IDCNNCRF2,3,0.01655021060796877,0.9931198116530496,0.026983644328806556,0.9900097044221563,,
0,IDCNNCRF2,4,0.009436651446605373,0.9949164234240773,0.02524589581926667,0.9896851068983877,,
0,IDCNNCRF2,5,0.0035084786836406807,0.9962318027069638,0.024133119073295805,0.9905791004974455,,
0,IDCNNCRF2,6,-0.0014710207784119148,0.996835167599794,0.017459075814170267,0.9898468691670469,,
0,IDCNNCRF2,7,-0.0066020495680997535,0.9973525303757128,0.02027037524865577,0.9901725443245382,0.8725623964785397,0.8973576052124093
0,BILSTMAttentionCRF,1,0.2016643473425948,0.9466814948146454,0.10041057721630445,0.9668866614622809,,
0,BILSTMAttentionCRF,2,0.08565261159050006,0.9712318024832776,0.0621654888263293,0.9803472477603239,,
0,BILSTMAttentionCRF,3,0.04914232790405846,0.9819971950748624,0.043250817537571276,0.9837452828286343,,
0,BILSTMAttentionCRF,4,0.033303906390045525,0.98636929689713,0.034607115831673245,0.9857467929612185,,
0,BILSTMAttentionCRF,5,0.024447504571616603,0.9887587614690911,0.02952800713062518,0.9865512777259277,,
0,BILSTMAttentionCRF,6,0.0170166253267025,0.9907316931831814,0.025804480573124875,0.9865717675890799,,
0,BILSTMAttentionCRF,7,0.010808676351185185,0.9920411401037695,0.0207086774660882,0.9878227145852079,,
0,BILSTMAttentionCRF,8,0.0045499513311911995,0.9931926021912229,0.01845152825390291,0.9874042942147804,,
0,BILSTMAttentionCRF,9,-0.001790766555885837,0.9939507167405917,0.01335764541449888,0.987640462710507,0.8501169476603241,0.8483236182130306
0,BILSTMCRF,1,0.14004849435862607,0.9572360613802664,0.058446710228447545,0.980226464600904,,
0,BILSTMCRF,2,0.0517022310996485,0.9817971538587205,0.04196124501340754,0.9847729970089095,,
0,BILSTMCRF,3,0.03662249068043114,0.9861670972896499,0.034550792015474306,0.9867799006580059,,
0,BILSTMCRF,4,0.02761823349191117,0.9888830474250129,0.028881501710544728,0.9876911444313303,,
0,BILSTMCRF,5,0.021219924858602635,0.9905084653488451,0.024540358265705393,0.9884460266066076,,
0,BILSTMCRF,6,0.015506582944371208,0.99176399167605,0.02090593151407509,0.9888655239101316,,
0,BILSTMCRF,7,0.010002311342262767,0.9928477833240945,0.017262465483330734,0.9888245461185837,,
0,BILSTMCRF,8,0.004518038624969711,0.9935659986733747,0.013203263932482095,0.9891771802004392,,
0,BILSTMCRF,9,-0.001360518008970294,0.994216813285747,0.008010173478493905,0.9895826582896803,,
0,BILSTMCRF,10,-0.007376959174991965,0.9947945641993088,0.0029654448387336284,0.9896667743402816,,
0,BILSTMCRF,11,-0.013576727743943211,0.9953415823525291,-0.0010361376859365794,0.9895308968911057,,
0,BILSTMCRF,12,-0.020110220811151512,0.9959007333001954,-0.006370044347619105,0.9898285356640597,,
0,BILSTMCRF,13,-0.026202889704275555,0.9961511916318758,-0.012584573821166978,0.9895330543375627,,
0,BILSTMCRF,14,-0.032624314353633284,0.9965906399399104,-0.01613204109735661,0.989251590046337,0.8701891488219949,0.8630811362295611
0,BERTBILSTMCRF,1,0.05892658781820271,0.985034508662973,0.01586632300391239,0.9955073837887877,,
0,BERTBILSTMCRF,2,0.013412037370017404,0.9965351008165619,0.012286964792233561,0.9966483328780297,,
0,BERTBILSTMCRF,3,0.008174887712702202,0.9978348388006473,0.014174619036010862,0.996264420402329,,
0,BERTBILSTMCRF,4,0.005511407698156624,0.9985533219305273,0.0142074982925692,0.9963517721630307,0.9548101390430347,0.950273380695393